pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,0,0,0,0,0,0,0,0,0,5
P002,0,0,0,0,0,0,0,0,0,0,4
P003,0,0,0,0,0,0,3,0,0,3,0
P004,1,0,1,0,0,0,0,0,0,2,0
P005,4,0,4,8,0,0,3,0,2,0,4
P006,1,0,2,0,1,2,1,1,0,2,4
P007,0,0,0,0,0,0,0,0,1,0,0
P008,0,0,0,0,0,0,0,0,0,0,4
P009,2,0,0,0,0,0,1,0,0,0,0
P010,0,0,0,1,0,1,0,0,0,1,2
P011,0,1,0,0,0,0,0,0,0,0,1
P012,0,0,0,0,0,0,0,0,0,0,6
P013,1,0,1,0,0,0,0,0,0,0,0
P014,0,0,0,0,1,0,0,0,1,1,0
P015,0,0,0,0,0,1,0,0,0,0,0
P016,0,0,1,1,0,0,0,0,0,0,0
P017,0,0,2,0,0,0,0,0,0,0,0
P018,2,0,0,1,1,0,1,0,0,0,0
P019,0,1,0,0,0,0,0,0,0,0,0
P020,0,0,0,0,0,1,0,0,0,0,0
P021,2,0,1,2,2,3,2,0,1,3,0
P022,0,0,1,0,0,0,1,1,0,0,1
P023,0,1,1,1,3,2,0,0,0,4,0
P024,0,0,0,4,0,0,0,0,0,0,0
P025,0,0,1,2,0,0,1,0,0,0,0
P026,0,0,0,0,3,3,1,0,0,2,0
P027,0,1,0,0,0,0,0,0,0,1,0
P028,1,1,3,3,6,0,2,0,0,0,3
P029,0,0,0,0,0,2,0,0,0,0,0
P030,1,0,0,1,1,0,0,0,1,0,0
P031,0,0,0,2,0,0,2,0,0,0,0
P032,3,0,0,2,0,2,0,0,0,0,0
P033,0,0,0,2,0,0,0,0,0,1,1
P034,0,0,0,2,0,0,0,0,0,0,0
P035,0,0,0,3,1,1,0,0,0,1,1
P036,0,1,0,1,0,0,0,0,1,1,0
P037,0,1,1,0,2,0,0,0,0,0,0
P038,0,0,0,2,0,0,2,0,2,0,0
P039,0,0,1,1,1,1,0,0,0,0,1
P040,2,0,0,0,1,0,1,0,0,2,0
P041,0,0,0,0,0,0,0,0,0,0,1
P042,0,0,0,1,1,0,0,0,0,0,0
P043,0,0,0,0,0,2,0,0,0,0,10
P044,1,0,0,1,0,0,0,0,0,0,2
P045,0,0,0,0,0,0,0,1,0,0,0
P046,0,0,0,1,0,0,0,0,1,0,2
P047,0,0,0,0,0,0,0,0,2,0,1
P048,0,0,0,0,2,0,0,0,0,0,0
P049,0,0,0,0,2,0,0,0,0,0,0
P050,0,0,0,0,0,1,0,0,0,1,0
P051,0,1,0,0,0,1,0,0,0,1,0
P052,3,0,4,5,1,0,0,1,0,4,3
P053,1,0,1,2,0,0,2,1,1,0,0
P054,0,1,2,4,0,2,1,0,1,3,0
P055,0,0,0,0,1,0,0,0,0,0,1
P056,0,0,0,0,1,0,1,1,0,0,0
P057,0,0,0,0,0,1,0,0,0,0,0
P058,4,8,7,14,9,8,7,2,2,10,34
P059,0,0,0,0,2,1,0,0,1,1,1
P060,0,0,0,0,0,0,1,0,1,0,4
P061,2,1,0,1,0,1,0,0,0,0,1
P062,0,0,1,1,0,0,0,1,2,0,8
P063,2,5,2,6,4,9,4,0,1,8,9
P064,1,0,0,0,0,0,0,0,0,0,4
P065,0,0,4,0,0,0,1,1,0,0,0
P066,1,1,1,4,5,0,0,0,0,4,3
P067,0,1,0,6,0,0,0,0,0,1,3
P068,0,4,1,3,3,8,3,2,1,0,11
P069,1,0,1,0,1,0,0,0,0,0,1
P070,0,0,0,1,0,0,0,0,0,1,1
P071,3,1,2,6,5,2,1,1,1,0,9
P072,0,1,0,0,4,4,0,1,2,5,0
P073,0,1,0,2,1,0,0,0,0,0,0
P074,0,0,0,0,2,0,0,0,0,0,0
P075,0,0,8,0,0,0,0,0,0,1,0
P076,0,0,3,0,0,0,2,0,0,6,7
P077,1,5,5,7,4,3,0,0,2,5,10
P078,1,0,0,2,3,1,1,0,2,2,1
P079,1,1,1,2,2,1,1,0,1,2,4
P080,3,3,3,3,5,3,3,1,2,1,9
P081,2,2,10,4,4,7,1,1,1,5,0
P082,2,0,1,1,0,1,2,1,1,1,3
P083,0,0,3,0,0,0,1,0,2,1,0
P084,0,0,0,0,0,3,0,0,0,0,0
P085,0,0,0,0,0,2,0,0,1,2,2
P086,0,0,0,0,1,1,1,1,0,2,4
